Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,Quad_Pos_X,Quad_Pos_Y,Quad_Pos_Z,Vx,Vy,Vz,Alpha,Beta,GammaAlpha,GammaBeta,Fx,Fy,Fz
32.480000000,0.0000,0.0000,-1.5000,-0.0047,-0.0072,0.9690,-0.0012,-0.0046,0.0027,-0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.484000000,0.0000,0.0000,-1.5000,-0.0047,-0.0073,0.9691,-0.0014,-0.0036,0.0019,-0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.504000000,0.0000,0.0000,-1.5000,-0.0047,-0.0073,0.9691,-0.0014,-0.0036,0.0019,-0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.524000000,0.0000,0.0000,-1.5000,-0.0047,-0.0073,0.9691,-0.0014,-0.0036,0.0019,-0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.544000000,0.0000,0.0000,-1.5000,-0.0046,-0.0072,0.9691,-0.0009,-0.0034,0.0020,-0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.564000000,0.0000,0.0000,-1.5000,-0.0046,-0.0072,0.9691,-0.0009,-0.0034,0.0020,-0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.584000000,0.0000,0.0000,-1.5000,-0.0046,-0.0072,0.9692,-0.0006,-0.0034,0.0020,-0.0000,-0.0000,-0.0001,-0.0000,0.0000,0.0000,0.0000
32.604000000,0.0000,0.0000,-1.5000,-0.0046,-0.0072,0.9692,-0.0011,-0.0031,0.0019,-0.0000,-0.0000,-0.0001,-0.0000,0.0000,0.0000,0.0000
32.624000000,0.0000,0.0000,-1.5000,-0.0046,-0.0072,0.9692,-0.0011,-0.0031,0.0019,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.644000000,0.0000,0.0000,-1.5000,-0.0046,-0.0072,0.9692,-0.0011,-0.0035,0.0011,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.664000000,0.0000,0.0000,-1.5000,-0.0045,-0.0072,0.9692,-0.0008,-0.0023,0.0010,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.684000000,0.0000,0.0000,-1.5000,-0.0045,-0.0072,0.9692,-0.0008,-0.0023,0.0010,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.704000000,0.0000,0.0000,-1.5000,-0.0045,-0.0071,0.9691,-0.0009,-0.0020,0.0010,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.724000000,0.0000,0.0000,-1.5000,-0.0045,-0.0071,0.9691,-0.0009,-0.0020,0.0010,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
32.744000000,0.0000,0.0000,-1.5000,-0.0045,-0.0070,0.9691,-0.0012,-0.0023,0.0010,0.0000,-0.0000,-0.0001,0.0000,0.0000,0.0000,0.0000
