Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,Quad_Pos_X,Quad_Pos_Y,Quad_Pos_Z,Vx,Vy,Vz,Alpha,Beta,GammaAlpha,GammaBeta,Fx,Fy,Fz
20.780000000,0.0000,0.0000,-1.5000,0.0022,-0.0047,0.9621,-0.0027,0.0015,-0.0004,-0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.784000000,0.0000,0.0000,-1.5000,0.0020,-0.0046,0.9621,-0.0037,0.0017,0.0012,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.804000000,0.0000,0.0000,-1.5000,0.0020,-0.0046,0.9621,-0.0037,0.0017,0.0012,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.824000000,0.0000,0.0000,-1.5000,0.0020,-0.0046,0.9621,-0.0037,0.0017,0.0012,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.844000000,0.0000,0.0000,-1.5000,0.0019,-0.0046,0.9622,-0.0039,0.0013,0.0017,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.864000000,0.0000,0.0000,-1.5000,0.0019,-0.0046,0.9622,-0.0039,0.0013,0.0017,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.884000000,0.0000,0.0000,-1.5000,0.0018,-0.0046,0.9623,-0.0041,0.0012,0.0019,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.904000000,0.0000,0.0000,-1.5000,0.0017,-0.0046,0.9623,-0.0043,0.0014,0.0011,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.924000000,0.0000,0.0000,-1.5000,0.0016,-0.0046,0.9623,-0.0045,0.0018,0.0015,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000
20.944000000,0.0000,0.0000,-1.5000,0.0016,-0.0046,0.9623,-0.0045,0.0018,0.0015,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.964000000,0.0000,0.0000,-1.5000,0.0014,-0.0046,0.9624,-0.0040,0.0011,-0.0009,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
20.984000000,0.0000,0.0000,-1.5000,0.0014,-0.0046,0.9624,-0.0040,0.0011,-0.0009,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
21.004000000,0.0000,0.0000,-1.5000,0.0013,-0.0046,0.9624,-0.0040,0.0019,0.0001,0.0000,-0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
21.024000000,0.0000,0.0000,-1.5000,0.0013,-0.0046,0.9624,-0.0040,0.0019,0.0001,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.044000000,0.0000,0.0000,-1.5000,0.0013,-0.0046,0.9624,-0.0036,0.0025,0.0008,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.064000000,0.0000,0.0000,-1.5000,0.0013,-0.0046,0.9624,-0.0036,0.0025,0.0008,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.084000000,0.0000,0.0000,-1.5000,0.0013,-0.0046,0.9625,-0.0031,0.0029,0.0010,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.104000000,0.0000,0.0000,-1.5000,0.0013,-0.0046,0.9625,-0.0031,0.0029,0.0010,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.124000000,0.0000,0.0000,-1.5000,0.0013,-0.0046,0.9625,-0.0031,0.0029,0.0006,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.144000000,0.0000,0.0000,-1.5000,0.0013,-0.0045,0.9625,-0.0036,0.0031,0.0006,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.164000000,0.0000,0.0000,-1.5000,0.0013,-0.0045,0.9625,-0.0036,0.0031,0.0006,0.0000,-0.0000,-0.0001,-0.0000,0.0000,0.0000,0.0000
21.184000000,0.0000,0.0000,-1.5000,0.0013,-0.0045,0.9626,-0.0033,0.0036,0.0012,0.0000,-0.0000,-0.0001,-0.0000,0.0000,0.0000,0.0000
21.204000000,0.0000,0.0000,-1.5000,0.0013,-0.0044,0.9626,-0.0033,0.0035,0.0009,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.224000000,0.0000,0.0000,-1.5000,0.0013,-0.0044,0.9626,-0.0033,0.0035,0.0009,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.244000000,0.0000,0.0000,-1.5000,0.0013,-0.0044,0.9627,-0.0038,0.0036,0.0007,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.264000000,0.0000,0.0000,-1.5000,0.0013,-0.0044,0.9627,-0.0038,0.0036,0.0007,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.284000000,0.0000,0.0000,-1.5000,0.0013,-0.0043,0.9628,-0.0041,0.0030,0.0012,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.304000000,0.0000,0.0000,-1.5000,0.0012,-0.0043,0.9628,-0.0045,0.0028,-0.0001,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.324000000,0.0000,0.0000,-1.5000,0.0012,-0.0043,0.9628,-0.0045,0.0028,-0.0001,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.344000000,0.0000,0.0000,-1.5000,0.0012,-0.0043,0.9612,-0.0039,0.0020,0.0014,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.364000000,0.0000,0.0000,-1.5000,0.0012,-0.0043,0.9612,-0.0039,0.0020,0.0014,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.384000000,0.0000,0.0000,-1.5000,0.0012,-0.0043,0.9613,-0.0042,0.0021,0.0017,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.404000000,0.0000,0.0000,-1.5000,0.0012,-0.0043,0.9614,-0.0041,0.0022,0.0015,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.424000000,0.0000,0.0000,-1.5000,0.0012,-0.0043,0.9614,-0.0041,0.0022,0.0015,0.0000,-0.0000,-0.0001,-0.0000,0.0000,0.0000,0.0000
21.448000000,0.0000,0.0000,-1.5000,0.0012,-0.0044,0.9615,-0.0038,0.0022,0.0014,0.0000,0.0000,-0.0001,-0.0000,0.0000,0.0000,0.0000
21.464000000,0.0000,0.0000,-1.5000,0.0012,-0.0044,0.9615,-0.0038,0.0022,0.0014,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
21.484000000,0.0000,0.0000,-1.5000,0.0012,-0.0044,0.9616,-0.0034,0.0019,0.0014,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
